comment,sentiment
The varied learning that takes place is fantastic and achievements are celebrated.,1
My son has come along brilliantly with his reading and writing.,1
He loves his teachers and loves going to school.,1
I have 2 children at the school and they love every minute.,1
The small classes allow for more help and guidance.,1
The teachers and headmaster are very committed to the students.,1
Very nicely planned and organized academic programme.,1
Good efforts by all teachers.,1
My child is being groomed very well.,1
This student always tries their best and follows the school rules.,1
Is a great role model for other students.,1
Usually follows instructions well but sometimes needs reminders.,0
Is learning to focus on helpful behaviour in class.,0
Often struggles to sit still but is learning to manage.,0
Is keen to share ideas but needs to let others speak.,0
Needs guidance and supervision to stay on track.,-1
Behaviour and work ethic is inconsistent.,-1
Sometimes talks out of turn which distracts classmates.,-1
Needs to work on following directions the first time.,-1
Needs better ways to handle frustration.,-1
You did a great job incorporating interactive activities.,1
Your classroom management techniques are commendable.,1
You effectively used multimedia resources.,1
Please maintain better classroom pacing.,0
Encouragement is the key to lead students to success.,1
My dream is to help my students achieve their dreams.,1
Hate this teacher.,-1
I don't like being told what to do!,-1
Dr Smith rocks!,1
She looks at us like we're stupid when we ask questions.,-1
She should be fired.,-1
I had to work hard to get an A.,0
The course pack is great!,1
Excellent professors!,1
Boring because of the maths operations.,-1
Nearly six in ten students were unhappy with peer engagement.,-1
One in three were dissatisfied with student support.,-1
Overall satisfaction rose slightly.,0
Students will say what students will say because kids are kids.,0
Everyone has a different sense of humor.,0
